Name,Collection,Category,Color Name,Color ID,LRV,h,R,G,B,HEX
129-C4,,,Torchlight,SW6374,,,229,174,107,E5AE6B
129-C5,,,Honeycomb,SW6375,,,213,152,88,D59858
129-C6,,,Gold Coast,SW6376,,,199,133,56,C78538
129-C7,,,Butterscotch,SW6377,,,182,125,60,B67D3C
264-C3,,,Crisp Linen,SW6378,,,243,230,212,F3E6D4
130-C1,,,Jersey Cream,SW6379,,,245,222,187,F5DEBB
130-C2,,,Humble Gold,SW6380,,,237,199,150,EDC796
130-C4,,,Anjou Pear,SW6381,,,221,172,109,DDAC6D
130-C5,,,Ceremonial Gold,SW6382,,,214,158,89,D69E59
130-C6,,,Golden Rule,SW6383,,,204,146,73,CC9249
130-C7,,,Cut the Mustard,SW6384,,,186,127,56,BA7F38
261-C2,,,Dover White,SW6385,,,240,234,220,F0EADC
139-C1,,,Napery,SW6386,,,239,221,193,EFDDC1
139-C2,,,Compatible Cream,SW6387,,,232,200,158,E8C89E
139-C4,,,Golden Fleece,SW6388,,,214,173,120,D6AD78
139-C5,,,Butternut,SW6389,,,204,155,92,CC9B5C
139-C6,,,Bosc Pear,SW6390,,,192,144,86,C09056
139-C7,,,Gallant Gold,SW6391,,,164,118,60,A4763C
269-C4,,,Vital Yellow,SW6392,,,237,224,197,EDE0C5
142-C1,,,Convivial Yellow,SW6393,,,233,214,176,E9D6B0
142-C2,,,Sequin,SW6394,,,225,194,141,E1C28D
142-C4,,,Alchemy,SW6395,,,201,158,83,C99E53
142-C5,,,Different Gold,SW6396,,,188,147,77,BC934D
142-C6,,,Nankeen,SW6397,,,170,128,58,AA803A
142-C7,,,Sconce Gold,SW6398,,,153,111,50,996F32
269-C3,,,Chamomile,SW6399,,,233,224,197,E9E0C5
143-C1,,,Lucent Yellow,SW6400,,,228,208,165,E4D0A5
143-C3,,,Independent Gold,SW6401,,,210,186,131,D2BA83
143-C4,,,Antiquity,SW6402,,,194,164,98,C2A462
143-C5,,,Escapade Gold,SW6403,,,184,155,89,B89B59
143-C6,,,Grandiose,SW6404,,,156,127,65,9C7F41
143-C7,,,Fervent Brass,SW6405,,,149,121,61,95793D
269-C2,,,Ionic Ivory,SW6406,,,231,223,197,E7DFC5
144-C1,,,Ancestral Gold,SW6407,,,221,205,166,DDCDA6
144-C2,,,Wheat Grass,SW6408,,,203,181,132,CBB584
144-C4,,,Edgy Gold,SW6409,,,177,151,95,B1975F
144-C5,,,Brassy,SW6410,,,157,131,68,9D8344
144-C6,,,Bengal Grass,SW6411,,,142,119,63,8E773F
144-C7,,,Eminent Bronze,SW6412,,,122,104,65,7A6841
269-C1,,,Restoration Ivory,SW6413,,,233,225,202,E9E1CA
145-C1,,,Rice Paddy,SW6414,,,223,212,176,DFD4B0
145-C2,,,Hearts of Palm,SW6415,,,207,194,145,CFC291
145-C4,,,Sassy Green,SW6416,,,187,168,106,BBA86A
145-C5,,,Tupelo Tree,SW6417,,,156,145,82,9C9152
145-C6,,,Rural Green,SW6418,,,141,132,77,8D844D
145-C7,,,Saguaro,SW6419,,,101,95,45,655F2D
270-C5,,,Queen Anne's Lace,SW6420,,,236,234,213,ECEAD5
154-C1,,,Celery,SW6421,,,224,221,189,E0DDBD
154-C2,,,Shagreen,SW6422,,,203,201,157,CBC99D
154-C4,,,Ryegrass,SW6423,,,174,172,122,AEAC7A
154-C5,,,Tansy Green,SW6424,,,149,148,92,95945C
154-C6,,,Relentless Olive,SW6425,,,113,113,62,71713E
154-C7,,,Basque Green,SW6426,,,95,96,51,5F6033
270-C6,,,Sprout,SW6427,,,228,228,206,E4E4CE
155-C1,,,Honeydew,SW6428,,,219,221,189,DBDDBD
155-C2,,,Baize Green,SW6429,,,199,205,168,C7CDA8
155-C3,,,Great Green,SW6430,,,171,180,134,ABB486
155-C5,,,Leapfrog,SW6431,,,136,145,93,88915D
155-C6,,,Garden Spot,SW6432,,,109,118,69,6D7645
155-C7,,,Inverness,SW6433,,,87,98,56,576238
270-C2,,,Spinach White,SW6434,,,228,232,218,E4E8DA
156-C1,,,Gratifying Green,SW6435,,,218,226,205,DAE2CD
156-C2,,,Bonsai Tint,SW6436,,,197,209,178,C5D1B2
156-C3,,,Haven,SW6437,,,163,180,140,A3B48C
156-C5,,,Dill,SW6438,,,120,141,96,788D60
156-C6,,,Greenfield,SW6439,,,96,114,79,60724F
156-C7,,,Courtyard,SW6440,,,71,88,66,475842
270-C3,,,White Mint,SW6441,,,224,231,218,E0E7DA
157-C1,,,Supreme Green,SW6442,,,207,221,199,CFDDC7
157-C2,,,Relish,SW6443,,,179,203,170,B3CBAA
157-C3,,,Lounge Green,SW6444,,,139,169,127,8BA97F
157-C5,,,Garden Grove,SW6445,,,94,127,87,5E7F57
157-C6,,,Arugula,SW6446,,,66,96,60,42603C
157-C7,,,Evergreens,SW6447,,,64,88,64,405840
158-C1,,,Topiary Tint,SW6449,,,200,216,196,C8D8C4
158-C2,,,Easy Green,SW6450,,,172,194,168,ACC2A8
158-C3,,,Nurture Green,SW6451,,,152,176,146,98B092
